purchased,gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income,name,email
Y,M,Grad,756460,NaN,N,B,,U,Professional,1Low,,Midwest,1,L,Carlos Gordy,Carlos.Gordy@mail.com
N,F,Bach,213171,>65,N,E,,U,Professional,1Low,Owner,Northeast,3,G,Sarah Jenkins,Sarah.Jenkins@mail.com
N,M,Some College,111147,<=25,Y,C,,Y,Professional,1Low,Owner,Midwest,1,J,Sidney Jefferson,Sidney.Jefferson@mail.com
Y,M,Some College,354151,<=25,Y,B,Single,U,Sales/Service,1Low,,West,2,L,Curtis Reese,Curtis.Reese@mail.com
Y,F,Some College,117087,NaN,Y,J,Married,Y,Sales/Service,1Low,,South,7,H,Theresa Lacey,Theresa.Lacey@mail.com
Y,F,Bach,248694,<=65,Y,B,Married,N,Professional,2Med,Owner,West,1,G,Cathy Green,Cathy.Green@mail.com
Y,M,Bach,2000000,NaN,Y,A,Married,U,Professional,1Low,,Northeast,5,C,Harold Luttrell,Harold.Luttrell@mail.com
N,F,Bach,416925,<=55,Y,C,Married,Y,Professional,1Low,Owner,South,2,I,Shirley Gallivan,Shirley.Gallivan@mail.com
N,F,HS,207676,<=45,Y,G,,Y,Blue Collar,1Low,Renter,West,5,D,Brenda Nethercutt,Brenda.Nethercutt@mail.com
Y,M,HS,241380,NaN,Y,C,Married,U,Sales/Service,1Low,,Northeast,6,G,Ismael Smith,Ismael.Smith@mail.com
N,M,Some College,158268,>65,Y,C,,Y,Sales/Service,2Med,Owner,Midwest,3,E,Arthur Moore,Arthur.Moore@mail.com
Y,F,Bach,245686,<=45,N,F,Married,U,Blue Collar,1Low,Owner,South,3,E,Linda Stewart,Linda.Stewart@mail.com
Y,F,Some College,360587,<=55,Y,C,Married,Y,Professional,3High,Owner,Midwest,1,J,Emily Abell,Emily.Abell@mail.com
N,M,<HS,0,<=25,Y,I,,N,Others,1Low,,West,6,C,Thomas Mangham,Thomas.Mangham@mail.com
Y,F,Bach,380431,<=65,Y,B,,U,Professional,1Low,Owner,South,2,A,Lillian Gilfillan,Lillian.Gilfillan@mail.com
Y,M,<HS,162884,NaN,Y,G,Married,Y,Professional,1Low,Renter,South,7,C,David Bridges,David.Bridges@mail.com
N,F,HS,0,>65,N,I,Married,N,Retired,1Low,Owner,South,5,E,Mary Banuelos,Mary.Banuelos@mail.com
Y,F,Some College,239560,<=55,Y,C,Married,Y,Sales/Service,2Med,Owner,Midwest,3,F,Mary Selva,Mary.Selva@mail.com
N,M,<HS,60822,NaN,N,G,Single,Y,Blue Collar,1Low,Renter,Midwest,9,C,Richard Sandi,Richard.Sandi@mail.com
N,M,HS,90426,<=45,Y,I,,N,Blue Collar,1Low,Owner,South,6,E,Bill Holdsworth,Bill.Holdsworth@mail.com
Y,F,Grad,408750,<=35,Y,F,,Y,Sales/Service,3High,Owner,West,3,F,Kimberly Polley,Kimberly.Polley@mail.com
Y,M,Bach,0,<=45,N,G,Married,U,Professional,1Low,Renter,West,8,F,Joseph Burris,Joseph.Burris@mail.com
N,F,Some College,136729,<=45,Y,C,Married,Y,Blue Collar,1Low,Owner,Midwest,4,G,Sylvia Taylor,Sylvia.Taylor@mail.com
N,U,<HS,452622,<=35,N,F,Single,U,Professional,1Low,Renter,South,1,D,Billie Showalter,Billie.Showalter@mail.com
N,M,<HS,128402,NaN,N,G,Single,U,Sales/Service,1Low,Renter,Northeast,8,A,Stephen Nichols,Stephen.Nichols@mail.com
Y,M,Bach,308817,<=35,Y,C,Married,Y,Sales/Service,1Low,Renter,South,2,F,Edward Blunt,Edward.Blunt@mail.com
Y,M,Grad,206271,<=35,Y,C,Married,Y,Professional,2Med,Owner,West,4,F,Rodney Britt,Rodney.Britt@mail.com
N,M,HS,0,NaN,N,F,Married,U,Blue Collar,1Low,,Northeast,5,D,George Marenco,George.Marenco@mail.com
Y,M,Some College,169113,<=65,Y,B,Married,N,Professional,1Low,Owner,Midwest,3,F,Alan Walker,Alan.Walker@mail.com
N,F,Some College,189878,<=25,Y,E,,Y,Sales/Service,2Med,Owner,South,4,E,Susan Koch,Susan.Koch@mail.com
Y,F,Some College,94503,<=55,Y,F,,Y,Blue Collar,1Low,Owner,Midwest,3,D,Eva Niceswander,Eva.Niceswander@mail.com
Y,M,HS,1076582,<=55,Y,B,Married,Y,Professional,3High,Owner,West,1,F,Paul Alexander,Paul.Alexander@mail.com
Y,M,Some College,325081,<=55,Y,C,Married,Y,Sales/Service,1Low,Owner,Midwest,2,J,Thomas Lotts,Thomas.Lotts@mail.com
Y,F,Grad,0,<=35,Y,B,,U,Professional,1Low,,Northeast,2,E,Lori Morris,Lori.Morris@mail.com
Y,M,Some College,1151448,<=35,N,B,Single,N,Professional,2Med,Owner,South,1,F,Stephen Way,Stephen.Way@mail.com
N,M,Grad,0,<=55,Y,G,Single,Y,Professional,1Low,Owner,Northeast,5,D,Neil Keene,Neil.Keene@mail.com
N,M,<HS,308705,NaN,N,C,,Y,Sales/Service,1Low,,West,1,H,Ron Boise,Ron.Boise@mail.com
Y,F,Bach,1500000,>65,Y,B,Married,N,Retired,3High,Owner,South,1,L,Agnes Olson,Agnes.Olson@mail.com
N,F,HS,46662,<=35,N,F,Married,U,Sales/Service,1Low,Renter,Midwest,3,D,Renae Kreidel,Renae.Kreidel@mail.com
Y,M,HS,0,<=45,N,C,Married,Y,Sales/Service,1Low,Renter,South,3,A,Phil Hall,Phil.Hall@mail.com
N,F,Some College,60887,<=25,N,G,,Y,Sales/Service,1Low,Renter,Midwest,5,D,Mary Nesbitt,Mary.Nesbitt@mail.com
N,M,Bach,778260,<=55,N,B,Married,U,Professional,1Low,Owner,West,1,L,Alfred Lopez,Alfred.Lopez@mail.com
N,F,HS,90404,<=55,Y,J,,Y,Sales/Service,1Low,Owner,South,4,E,Betty Morones,Betty.Morones@mail.com
N,F,<HS,381500,<=65,Y,D,Married,N,Retired,2Med,Owner,West,1,F,Tammie West,Tammie.West@mail.com
Y,M,Grad,371820,<=45,N,B,Married,Y,Professional,1Low,Owner,South,1,G,John Mercado,John.Mercado@mail.com
N,F,Bach,129870,NaN,Y,C,,U,Sales/Service,1Low,Owner,Midwest,2,F,Selena Sanchez,Selena.Sanchez@mail.com
N,M,HS,0,<=55,Y,A,Single,N,Blue Collar,1Low,Renter,Midwest,3,B,Daniel Chin,Daniel.Chin@mail.com
N,M,Some College,121398,NaN,N,F,Married,U,Sales/Service,1Low,,South,8,E,Larry Stanley,Larry.Stanley@mail.com
N,F,Some College,134288,<=65,N,B,,N,Sales/Service,1Low,Owner,South,3,E,Ashley Cervantes,Ashley.Cervantes@mail.com
Y,F,Some College,274680,<=45,Y,B,Married,Y,Professional,3High,Owner,South,1,B,Tracy Hall,Tracy.Hall@mail.com
N,M,Some College,285353,<=55,N,I,,U,Professional,1Low,Owner,West,1,E,Tom Baines,Tom.Baines@mail.com
N,F,,582365,<=25,N,B,,N,Professional,1Low,Owner,Northeast,1,K,Stephanie Donnelly,Stephanie.Donnelly@mail.com
Y,F,<HS,356560,<=55,Y,B,Married,Y,Sales/Service,2Med,Owner,South,1,G,Anita Morefield,Anita.Morefield@mail.com
N,M,HS,247746,<=55,Y,B,Married,U,Blue Collar,1Low,Owner,Midwest,8,E,John Orsborn,John.Orsborn@mail.com
N,F,Some College,0,<=25,Y,G,Single,Y,Sales/Service,1Low,,West,3,A,Louise Calhoun,Louise.Calhoun@mail.com
N,F,Grad,248520,>65,Y,D,Married,N,Professional,1Low,Owner,Northeast,4,E,Deena Slone,Deena.Slone@mail.com
N,F,<HS,0,<=45,N,G,Single,Y,Sales/Service,1Low,Renter,South,9,A,Rose James,Rose.James@mail.com
N,F,HS,0,NaN,Y,I,Single,U,Sales/Service,1Low,Owner,West,9,A,Carolyn Muller,Carolyn.Muller@mail.com
N,M,<HS,121753,NaN,N,G,,Y,Sales/Service,1Low,Renter,Northeast,2,A,Glenn Hills,Glenn.Hills@mail.com
N,U,Grad,735750,NaN,N,B,Married,U,Professional,3High,Owner,Midwest,6,J,Toni Sellers,Toni.Sellers@mail.com
N,F,HS,36029,<=55,Y,I,,Y,Sales/Service,1Low,Owner,South,8,B,Patricia Dykstra,Patricia.Dykstra@mail.com
Y,M,Grad,0,<=35,Y,F,Single,U,Blue Collar,1Low,Renter,Northeast,3,D,Keith Lynch,Keith.Lynch@mail.com
Y,M,Bach,296741,<=65,Y,C,Married,Y,Professional,3High,Owner,Northeast,1,H,Jarod Smith,Jarod.Smith@mail.com
Y,M,Bach,1383733,<=65,Y,B,,U,Professional,1Low,Owner,South,1,K,Barney Berry,Barney.Berry@mail.com
Y,M,Bach,395125,<=55,Y,C,Married,Y,Sales/Service,3High,Owner,South,1,J,Michael Hernandez,Michael.Hernandez@mail.com
N,F,,0,<=45,Y,I,Married,U,Blue Collar,1Low,Owner,South,3,D,Sandra Riggan,Sandra.Riggan@mail.com
N,F,Some College,0,<=25,N,G,,U,Sales/Service,1Low,Renter,South,7,A,Sophia Salgado,Sophia.Salgado@mail.com
N,F,HS,173462,<=55,Y,E,Married,U,Blue Collar,1Low,Owner,Midwest,5,E,Odessa Abbott,Odessa.Abbott@mail.com
N,F,HS,286353,<=55,N,C,,N,Sales/Service,2Med,Owner,Northeast,1,K,Alma Albus,Alma.Albus@mail.com
N,M,Bach,198652,NaN,N,E,,U,Professional,1Low,Owner,South,1,E,Cesar Deubler,Cesar.Deubler@mail.com
Y,F,Grad,123377,<=65,Y,F,Single,N,Professional,1Low,Owner,South,2,A,Kayla Miller,Kayla.Miller@mail.com
N,F,HS,87200,>65,N,F,,N,Retired,1Low,Owner,Midwest,4,C,Betty Wilkinson,Betty.Wilkinson@mail.com
N,F,Some College,113632,<=65,Y,F,,N,Professional,1Low,Owner,Midwest,1,E,Norma Johnson,Norma.Johnson@mail.com
N,M,Bach,143945,<=55,Y,F,Married,N,Professional,1Low,Owner,Midwest,6,F,Rene Parman,Rene.Parman@mail.com
Y,F,Bach,205781,<=45,Y,C,Married,Y,Sales/Service,1Low,Owner,South,3,G,Mary Sessoms,Mary.Sessoms@mail.com
N,F,Some College,333703,NaN,Y,E,Married,U,Sales/Service,1Low,Owner,Northeast,2,H,Frances Burrell,Frances.Burrell@mail.com
Y,M,Bach,0,<=45,Y,C,Married,Y,Professional,1Low,Owner,Midwest,3,E,Scott Boney,Scott.Boney@mail.com
Y,M,HS,174814,<=45,Y,F,Married,U,Sales/Service,1Low,,South,8,E,Mark Hooker,Mark.Hooker@mail.com
Y,M,Bach,816682,NaN,Y,C,Married,Y,Sales/Service,1Low,Owner,South,1,F,Paul Kowalski,Paul.Kowalski@mail.com
N,F,Bach,0,<=65,Y,H,,N,Retired,1Low,Renter,South,2,C,Kimberly Meier,Kimberly.Meier@mail.com
N,F,HS,117027,<=35,Y,G,,Y,Sales/Service,1Low,Owner,South,8,G,Dora Green,Dora.Green@mail.com
N,U,<HS,97440,NaN,N,G,,U,Sales/Service,1Low,Renter,South,6,A,Ella Dresbach,Ella.Dresbach@mail.com
Y,M,,976912,NaN,Y,B,,U,Others,2Med,Owner,Midwest,1,L,John Cherry,John.Cherry@mail.com
Y,M,Grad,221836,<=65,Y,I,Single,N,Professional,2Med,Owner,Midwest,2,F,Edward Smith,Edward.Smith@mail.com
N,F,Some College,654177,<=45,N,E,Single,Y,Sales/Service,1Low,Renter,West,3,D,Maria Lewis,Maria.Lewis@mail.com
N,F,Some College,308906,<=45,Y,D,,N,Sales/Service,1Low,Owner,West,6,B,Betty Essex,Betty.Essex@mail.com
N,U,<HS,0,NaN,Y,F,Single,U,Sales/Service,1Low,,South,8,D,Mary Martello,Mary.Martello@mail.com
N,M,Some College,167533,>65,Y,D,Married,N,Retired,1Low,Owner,Northeast,2,G,Roger Wells,Roger.Wells@mail.com
Y,M,Some College,425590,<=35,N,C,,Y,Sales/Service,1Low,Owner,West,5,F,Eric Hathcock,Eric.Hathcock@mail.com
Y,F,Some College,199800,<=25,Y,B,,N,Sales/Service,1Low,Owner,Northeast,3,E,Virginia Lopez,Virginia.Lopez@mail.com
N,M,<HS,76590,<=35,N,E,,Y,Professional,1Low,Owner,Midwest,2,E,Miles Johnson,Miles.Johnson@mail.com
N,M,<HS,124488,<=65,N,G,,N,Others,1Low,,Midwest,7,B,Howard Estep,Howard.Estep@mail.com
N,U,Some College,144724,NaN,Y,C,,Y,Sales/Service,1Low,Renter,South,2,K,Marilynn Tramble,Marilynn.Tramble@mail.com
N,F,HS,0,<=35,N,G,Married,U,Sales/Service,1Low,Renter,South,6,C,Mildred Jones,Mildred.Jones@mail.com
N,M,Some College,131781,NaN,N,G,Single,Y,Blue Collar,1Low,,Midwest,9,D,Jason Vassar,Jason.Vassar@mail.com
N,F,Some College,528006,<=25,Y,C,,U,Professional,1Low,Owner,West,1,G,Mary Perez,Mary.Perez@mail.com
N,F,Some College,228464,NaN,Y,F,Married,Y,Sales/Service,2Med,Owner,West,3,B,Mary Kitterman,Mary.Kitterman@mail.com
N,F,HS,0,<=55,Y,G,,Y,Professional,1Low,,South,2,B,Theresa Gordon,Theresa.Gordon@mail.com
N,F,HS,0,<=65,Y,G,Married,Y,Sales/Service,1Low,Owner,Northeast,7,B,Frances King,Frances.King@mail.com
N,F,Some College,476766,>65,N,E,,N,Retired,1Low,,West,3,F,Cynthia Serrano,Cynthia.Serrano@mail.com
N,F,Grad,0,<=45,Y,J,Married,Y,Professional,1Low,Owner,South,2,E,Donna Baron,Donna.Baron@mail.com
Y,F,Bach,441995,<=45,N,B,Married,Y,Professional,1Low,Owner,South,1,E,Mary Yetsko,Mary.Yetsko@mail.com
N,F,Some College,0,<=45,Y,D,,N,Professional,1Low,Renter,Northeast,6,B,Valarie Green,Valarie.Green@mail.com
Y,M,HS,580076,NaN,N,G,Single,N,Sales/Service,1Low,,West,2,E,Willie Dambrosio,Willie.Dambrosio@mail.com
Y,M,Bach,398720,<=55,Y,C,Married,U,Sales/Service,1Low,Owner,South,1,G,Anthony Villamar,Anthony.Villamar@mail.com
Y,M,Some College,130980,NaN,N,C,Married,U,Sales/Service,1Low,Owner,South,8,E,Miguel Tharp,Miguel.Tharp@mail.com
N,M,HS,0,<=55,Y,E,Married,Y,Blue Collar,1Low,Renter,Midwest,8,E,Anthony Sanders,Anthony.Sanders@mail.com
Y,M,Grad,1117250,<=65,N,B,Married,N,Professional,3High,Owner,West,1,I,Branden Windham,Branden.Windham@mail.com
Y,M,,48160,NaN,Y,F,,Y,Others,1Low,Owner,South,1,D,Gerald Lewis,Gerald.Lewis@mail.com
N,F,Bach,184454,>65,Y,I,,N,Retired,1Low,Owner,Midwest,2,D,Vanetta Rouse,Vanetta.Rouse@mail.com
Y,M,HS,298343,NaN,Y,C,Married,Y,Others,1Low,,West,7,D,Larry Rotz,Larry.Rotz@mail.com
Y,M,Grad,506850,<=35,N,C,Married,Y,Professional,3High,Owner,Midwest,1,L,Bob Mcdonald,Bob.Mcdonald@mail.com
N,M,Some College,379472,<=55,N,J,Married,Y,Professional,2Med,Owner,West,1,E,Otis Neifert,Otis.Neifert@mail.com
N,F,HS,119038,<=35,N,I,Married,Y,Sales/Service,1Low,Renter,South,5,E,Mariam Browning,Mariam.Browning@mail.com
N,F,HS,0,<=25,N,G,,U,Sales/Service,1Low,Renter,West,9,A,Susan Ford,Susan.Ford@mail.com
N,F,Some College,242006,<=55,Y,E,Married,U,Professional,1Low,Renter,South,3,G,Flora Tanner,Flora.Tanner@mail.com
Y,F,Grad,124260,<=35,N,E,Married,Y,Professional,1Low,Owner,Midwest,8,K,Stephanie Palmer,Stephanie.Palmer@mail.com
Y,F,Bach,90860,<=35,Y,E,Married,Y,Professional,1Low,Renter,Midwest,6,E,Jana Randolph,Jana.Randolph@mail.com
N,M,,530917,<=55,N,I,Married,U,Sales/Service,1Low,Owner,Midwest,1,G,Christopher Nelson,Christopher.Nelson@mail.com
Y,M,Grad,286288,<=45,Y,E,Married,Y,Professional,1Low,Owner,West,1,F,Jon Vance,Jon.Vance@mail.com
N,F,HS,629998,>65,Y,I,Married,N,Retired,1Low,Owner,Midwest,2,C,Natalie Rascoe,Natalie.Rascoe@mail.com
N,U,Grad,194238,NaN,N,I,,N,Sales/Service,1Low,Owner,South,2,E,Debra Hasson,Debra.Hasson@mail.com
N,F,,206010,<=35,Y,B,Married,N,Sales/Service,1Low,Owner,Midwest,1,A,Pamala Spence,Pamala.Spence@mail.com
N,M,Some College,484952,<=25,N,B,,U,Sales/Service,3High,Owner,South,1,I,Dennis Sosebee,Dennis.Sosebee@mail.com
Y,M,Some College,309451,<=65,Y,I,Married,Y,Sales/Service,3High,Owner,Northeast,5,F,Robert Smith,Robert.Smith@mail.com
Y,F,Bach,185131,<=35,Y,C,Married,Y,Blue Collar,1Low,Owner,South,5,E,Mary Files,Mary.Files@mail.com
N,F,Some College,345344,<=55,Y,B,Married,Y,Professional,1Low,Owner,South,3,G,Lee Johns,Lee.Johns@mail.com
N,F,HS,442400,<=65,Y,D,,N,Retired,1Low,Owner,South,1,H,Sandra Robinson,Sandra.Robinson@mail.com
Y,M,Bach,594819,<=65,Y,C,Married,U,Professional,1Low,,Northeast,4,J,Timothy Kent,Timothy.Kent@mail.com
Y,U,Some College,1040405,NaN,N,C,Married,Y,Professional,1Low,Owner,West,1,J,Yolanda Spearman,Yolanda.Spearman@mail.com
N,M,HS,0,>65,Y,A,,N,Sales/Service,1Low,Renter,Northeast,2,E,Ralph Markovich,Ralph.Markovich@mail.com
Y,M,Bach,356397,<=65,Y,B,Married,N,Professional,2Med,Owner,South,1,J,Paul Froedge,Paul.Froedge@mail.com
Y,F,Some College,315105,<=25,Y,E,Married,N,Professional,3High,Owner,South,3,F,Mirna Egan,Mirna.Egan@mail.com
Y,F,Some College,297851,<=55,Y,C,,U,Sales/Service,3High,Owner,Rest,1,E,Valerie Henry,Valerie.Henry@mail.com
Y,M,HS,282004,<=55,Y,C,Married,U,Retired,1Low,Owner,Midwest,1,F,James Smith,James.Smith@mail.com
N,M,Some College,0,<=45,Y,G,Single,Y,Professional,1Low,Renter,Midwest,8,C,Gary Oconnell,Gary.Oconnell@mail.com
Y,F,Bach,0,<=35,Y,G,Single,U,Professional,1Low,,South,3,E,Marlene Delgado,Marlene.Delgado@mail.com
Y,F,Bach,168512,<=35,N,C,Married,Y,Sales/Service,1Low,Owner,South,4,E,Pamela Honda,Pamela.Honda@mail.com
Y,M,<HS,503253,<=55,Y,E,Married,Y,Blue Collar,3High,Owner,Northeast,3,F,Kenneth Quick,Kenneth.Quick@mail.com
N,M,Some College,660965,NaN,N,G,Married,Y,Others,1Low,Renter,Northeast,7,G,Otha Johnson,Otha.Johnson@mail.com
Y,M,Bach,887216,<=45,Y,C,Married,Y,Professional,3High,Owner,West,2,I,John Bruce,John.Bruce@mail.com
N,M,<HS,0,<=65,N,H,,N,Sales/Service,1Low,,Northeast,3,D,Joseph Seats,Joseph.Seats@mail.com
Y,M,HS,221902,<=65,Y,B,Married,N,Professional,1Low,Owner,Northeast,3,E,Walter Cassiano,Walter.Cassiano@mail.com
N,F,Some College,0,<=55,Y,E,Married,Y,Blue Collar,1Low,Renter,Midwest,5,C,Madge Walden,Madge.Walden@mail.com
Y,M,Some College,197056,<=45,N,E,Married,Y,Sales/Service,1Low,Renter,West,3,E,Carlos Keller,Carlos.Keller@mail.com
Y,M,Bach,145515,<=45,Y,E,Married,Y,Professional,1Low,Owner,West,1,H,Lloyd Gilliam,Lloyd.Gilliam@mail.com
N,F,Some College,311304,<=25,N,G,,Y,Sales/Service,1Low,Renter,West,6,E,Amy Schacht,Amy.Schacht@mail.com
Y,M,Some College,89925,<=55,Y,F,,Y,Blue Collar,1Low,Owner,West,9,D,Elmer Haris,Elmer.Haris@mail.com
Y,F,Bach,255387,>65,Y,I,Married,N,Professional,1Low,Owner,South,1,F,Ann Breceda,Ann.Breceda@mail.com
Y,F,Grad,1011672,<=55,Y,B,,Y,Professional,3High,Owner,South,1,E,Samantha Persaud,Samantha.Persaud@mail.com
N,M,Grad,476733,>65,Y,B,Married,N,Professional,1Low,Owner,Midwest,1,I,Joseph Dolan,Joseph.Dolan@mail.com
Y,M,,533664,NaN,N,B,Married,U,Professional,3High,Owner,West,6,H,Michael Turner,Michael.Turner@mail.com
Y,M,Bach,0,<=35,Y,G,Married,U,Professional,1Low,Renter,West,8,A,Jerry Robinson,Jerry.Robinson@mail.com
N,F,Grad,103593,<=55,N,F,Single,U,Sales/Service,1Low,Owner,Midwest,2,E,Dawn Olds,Dawn.Olds@mail.com
Y,M,HS,348660,<=65,N,C,Married,N,Professional,3High,Owner,South,2,H,Joseph Celedon,Joseph.Celedon@mail.com
N,F,HS,0,<=55,Y,J,Married,U,Blue Collar,1Low,Owner,South,7,D,Lauren Alfano,Lauren.Alfano@mail.com
Y,M,Some College,326237,<=65,Y,E,,N,Others,1Low,Owner,South,2,E,Frank Morgan,Frank.Morgan@mail.com
Y,M,Bach,0,<=45,N,E,Married,Y,Others,1Low,Renter,South,8,F,Carroll Klein,Carroll.Klein@mail.com
N,M,HS,102514,>65,Y,J,,N,Retired,1Low,Owner,South,7,E,Charles Lewis,Charles.Lewis@mail.com
Y,M,Grad,238012,<=35,Y,C,Married,Y,Professional,2Med,Owner,Midwest,1,F,Gary Stone,Gary.Stone@mail.com
Y,F,Grad,333801,<=65,Y,B,Single,N,Professional,1Low,Owner,South,1,H,Betty Henry,Betty.Henry@mail.com
N,U,Bach,282920,NaN,N,G,Single,U,Professional,1Low,Renter,Midwest,8,K,Nancy Hines,Nancy.Hines@mail.com
