gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income,name,email
M,HS,166880,>65,Y,G,,U,Retired,1Low,Renter,South,3,A,Edward Obrien,Edward.Obrien@mail.com
M,Bach,108231,<=65,Y,F,Married,Y,Retired,1Low,Renter,Northeast,8,E,Norman Broyles,Norman.Broyles@mail.com
M,Some College,430877,<=55,Y,C,Married,Y,Professional,3High,Owner,Midwest,1,G,Cecil Miller,Cecil.Miller@mail.com
F,Grad,1348439,<=35,Y,C,Married,Y,Professional,1Low,Owner,West,2,D,Olivia Mclean,Olivia.Mclean@mail.com
M,Some College,245795,<=45,N,C,Married,Y,Sales/Service,2Med,Owner,South,2,G,Wesley Carlton,Wesley.Carlton@mail.com
F,Bach,5124744,>65,Y,B,Married,N,Retired,3High,Owner,West,1,L,Dawn Hanlin,Dawn.Hanlin@mail.com
M,Some College,0,>65,Y,E,Married,U,Sales/Service,1Low,,South,3,D,Joseph Hill,Joseph.Hill@mail.com
F,<HS,946120,<=55,Y,F,,Y,Professional,2Med,Owner,West,1,C,Estella Williams,Estella.Williams@mail.com
F,HS,311674,>65,Y,G,,N,Retired,1Low,Owner,South,2,D,Ruth Wilson,Ruth.Wilson@mail.com
F,Some College,276097,<=55,Y,C,Married,U,Professional,1Low,Owner,South,8,E,Robin Diaz,Robin.Diaz@mail.com
F,Some College,70168,<=65,Y,E,Single,N,Sales/Service,1Low,Renter,Northeast,2,E,Evangeline Shields,Evangeline.Shields@mail.com
F,Some College,214980,<=45,Y,E,Single,Y,Professional,1Low,Owner,West,2,E,Gloria Berg,Gloria.Berg@mail.com
U,<HS,749938,NaN,N,E,Married,U,Professional,2Med,Owner,West,7,F,Allison Deason,Allison.Deason@mail.com
F,HS,66227,<=55,Y,I,Married,Y,Sales/Service,1Low,Renter,South,1,E,Lynne Casey,Lynne.Casey@mail.com
F,HS,0,<=35,N,F,Married,U,Sales/Service,1Low,Renter,Northeast,9,E,Charlotte Hall,Charlotte.Hall@mail.com
M,HS,312400,<=55,N,B,Married,Y,Blue Collar,1Low,Renter,South,1,H,Victor Mudd,Victor.Mudd@mail.com
M,Bach,192330,<=45,Y,C,Married,Y,Sales/Service,1Low,Owner,Midwest,1,H,Joan Padilla,Joan.Padilla@mail.com
F,Bach,274233,<=55,Y,J,Married,Y,Professional,1Low,Owner,South,4,F,Carolyn Valle,Carolyn.Valle@mail.com
F,Some College,120532,<=25,N,J,Single,U,Sales/Service,1Low,Owner,Midwest,1,C,Sandra Mcchriston,Sandra.Mcchriston@mail.com
M,Some College,173440,<=65,Y,B,Married,N,Sales/Service,1Low,Owner,South,3,H,Ricardo Lovelady,Ricardo.Lovelady@mail.com
M,Some College,178193,NaN,Y,C,,Y,Blue Collar,2Med,Owner,South,2,D,Jody Selvester,Jody.Selvester@mail.com
F,Some College,0,<=35,Y,E,Single,Y,Sales/Service,1Low,Renter,South,9,E,Helen Gibson,Helen.Gibson@mail.com
M,Grad,262472,<=45,Y,C,Married,Y,Professional,1Low,Owner,Midwest,1,J,Richard Hines,Richard.Hines@mail.com
M,Bach,367875,<=65,Y,B,Married,N,Professional,1Low,Owner,West,1,E,Dan Arcizo,Dan.Arcizo@mail.com
F,HS,77416,<=55,Y,H,,Y,Blue Collar,1Low,Renter,West,7,E,Linda Mcdonald,Linda.Mcdonald@mail.com
M,HS,277753,<=55,Y,F,Married,Y,Sales/Service,1Low,Owner,Northeast,6,I,Charles Perez,Charles.Perez@mail.com
